"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"1";0,175814;27,0238;0,053517;0,0294296;1,64666;1,24544;1864;5,1;1037;0,527531;1276,84;289698;144178;96,0716;5,83385;-17,6;110;139;164;16,4;131;31;659;3,4;"1"
"2";0,322485;32,3762;-0,0385561;0,0173773;-6,98591;1,38192;1735;4,9;1212;0,422535;1260,77;286148;139008;21,6855;5,9722;-19,3;117;128;177;17,8;120;29;616;3,4;"1"
"3";0,837785;33,2666;-0,0109539;0,00864004;-2,89077;1,58177;1735;5,2;1197;0,490791;1170,4;286093;139253;41,5112;6,18243;-18,9;114;126;182;18,1;115;27;623;3,4;"1"
"4";0,0291911;26,4828;0,11641;0,00686001;16,8926;1,16782;1665;5,6;1231;0,539432;1134,07;285988;138743;20,4613;5,94109;-18,8;110;123;188;18,2;110;26;598;3,5;"1"
"5";0,17412;25,2161;-0,0150104;0,0603254;7,46108;1,36008;1665;5,5;1130;0,39777;1147,64;286053;138748;15,9691;5,8816;-19,3;112;128;177;17,8;120;29;616;3,4;"1"
"6";0,817774;30,0364;0,048728;0,0148742;4,12474;1,45258;1735;5,7;1233;0,588616;1067,1;285918;139323;54,1623;6,11387;-18,9;115;126;182;18,1;115;27;623;3,4;"1"
"7";0,338454;38,2484;-0,0091417;-0,00799215;1,96485;1,43761;1665;5,7;1231;0,515478;1070,97;285853;138748;18,7114;6,47954;-19,3;116;128;177;17,8;120;29;616;3,4;"1"
"8";0,140158;37,0204;-0,0533534;-0,00381195;-18,6851;1,27225;1665;5,9;1145;0,570048;1010,76;285763;138638;18,5203;6,28227;-18,8;111;123;188;18,2;110;26;598;3,5;"1"
"9";0,0205832;37,1777;0,00303033;-0,0168222;1,00201;1,24779;1623;6,2;1187;0,397849;930,5;285663;138523;15,7349;6,46746;-18;112;118;201;18,8;102;23;594;3,5;"1"
"10";0,563315;23,3414;0,0329972;-0,0102984;3,28986;1,55062;1696;6,1;1222;0,501475;972,62;285723;139278;96,8537;5,3431;-18,9;115;126;182;18,1;115;27;623;3,4;"1"
"11";0,120295;26,8206;-0,0400717;0,0240545;-12,622;1,81497;1623;6,1;1187;0,461179;956,16;285623;138608;23,0366;6,5413;-18;112;118;201;18,8;102;23;594;3,5;"1"
"12";0,0993683;43,6845;-0,0106195;-0,00588683;0,574424;1,07633;1623;6,4;1187;0,472183;892,05;285613;138513;11,8637;6,84331;-18;112;118;201;18,8;102;23;594;3,5;"1"
"13";0,760723;25,8574;0,00600749;0,00412754;-1,94804;2,21966;1696;6,2;1222;0,537234;930;285593;139388;104,742;5,85617;-18,7;114;122;192;18,4;107;25;624;3,5;"1"
